"WVK_ID","WVK_BEGDAT","BEGAFSTAND","ENDAFSTAND","BEGKM","ENDKM"
89144002,20211101,0,9,15.425,15.437
89144003,20211101,0,14,15.439,15.425
89144006,20211101,0,683,19.608,20.249
89144009,20211101,0,237,15.401,15.16
89145014,20211101,0,243,15.16,14.922
89179012,20211001,0,1087,154.478,153.4
89179013,20191101,0,122,154.598,154.479
89179014,20211001,0,122,155.003,155.125
89179015,20211101,0,208,40.793,41
89227006,20220201,0,5,49.507,49.502
89227007,20220201,0,79,49.502,49.423
89227008,20220201,0,12,49.423,49.408
89227009,20220201,0,186,49.408,49.222
89227013,20220301,0,80,49.473,49.493
89227014,20220301,0,11,49.408,49.473
89227015,20220201,0,11,49.493,49.502
89231013,20211101,0,304,2.559,2.269
89232002,20211101,0,439,3.014,2.559
90122019,20211101,0,29,.57,.541
90122021,20211101,0,30,.577,.547
90122026,20211101,0,27,.541,.568
90122027,20211101,0,27,.55,.577
90126001,20211101,0,1836,4.662,6.485
90136005,20211001,0,527,22.4,22.926
90137004,20210401,0,540,16.181,16.721
90137005,20210401,0,13,21.969,21.967
90137006,20210401,0,39,21.974,21.969
90137007,20210401,0,30,21.967,21.962
90137009,20210401,0,12,21.97,21.974
90137010,20210401,0,26,21.97,21.993
90137011,20210401,0,15,21.963,21.97
90137012,20210401,0,481,21.993,22.4
90143004,20211101,0,171,6.3,6.474
90143006,20010501,0,17,6.485,6.501
90143008,20181201,0,12,6.473,6.485
90144007,20211101,0,209,14.353,14.144
90144011,20211101,0,29,14.497,14.526
90144012,20211101,0,31,14.492,14.497
90144013,20211101,0,21,14.489,14.492
90144014,20211101,0,37,14.526,14.489
90174012,20060101,0,24,2.844,2.82
90174013,20211101,0,311,2.82,2.501
90174014,20060101,0,17,2.847,2.844
90179004,20210401,0,49,154.076,154.121
90180026,20211101,0,25,39.937,39.962
90180028,20211101,0,26,39.844,39.937
90180029,20211101,0,19,39.962,39.943
90180034,20211101,0,32,39.844,39.876
90180036,20211101,0,26,39.943,39.844
90200001,20211101,0,406,4.589,4.175
90200003,20211101,0,716,4.507,3.841
90200004,20181201,0,35,4.539,4.507
90230003,20211101,0,531,1.652,1.101
